Barbiturates and Benzodiazepines	Phenos
Barbiturates and Benzodiazepines	Pink Ladies
Barbiturates and Benzodiazepines	Planks (Xanax/Alprazolam)
Barbiturates and Benzodiazepines	Purple Hearts
Barbiturates and Benzodiazepines	Q
Barbiturates and Benzodiazepines	Quads
Barbiturates and Benzodiazepines	Quas
Barbiturates and Benzodiazepines	R2
Barbiturates and Benzodiazepines	Rainbows
Barbiturates and Benzodiazepines	Red and Blue
Barbiturates and Benzodiazepines	Red Bullets
Barbiturates and Benzodiazepines	Red Devils
Barbiturates and Benzodiazepines	Reds
Barbiturates and Benzodiazepines	Roofies
Barbiturates and Benzodiazepines	Roches
Barbiturates and Benzodiazepines	Seggy
Barbiturates and Benzodiazepines	Sleep Aways
Barbiturates and Benzodiazepines	Sleeper and Red Devil (A Depressant and Heroin)
Barbiturates and Benzodiazepines	Sleepers
Barbiturates and Benzodiazepines	Softball
Barbiturates and Benzodiazepines	Sporos
Barbiturates and Benzodiazepines	Stoppers
Barbiturates and Benzodiazepines	Strawberries
Barbiturates and Benzodiazepines	Stumbler
Barbiturates and Benzodiazepines	Stupify
Barbiturates and Benzodiazepines	Tooties
Barbiturates and Benzodiazepines	Tuie
Barbiturates and Benzodiazepines	Tranks
Barbiturates and Benzodiazepines	Tranqs
Barbiturates and Benzodiazepines	Uncle Milty
Barbiturates and Benzodiazepines	Ups and Downs
Barbiturates and Benzodiazepines	V (Valium/Diazepam)
Barbiturates and Benzodiazepines	Wallbangers
Barbiturates and Benzodiazepines	Xs (Xanax/Alprazolam)
Barbiturates and Benzodiazepines	Yellow
Barbiturates and Benzodiazepines	Yellow Bullets
Barbiturates and Benzodiazepines	Yellowjackets
Barbiturates and Benzodiazepines	Zs
Barbiturates and Benzodiazepines	Zannies (Xanax/Alprazolam)
Cocaine	8-Ball (Crack and Heroin)
Cocaine	51 (Crack sprinkled on Tobacco)
Cocaine	All-American Drug
Cocaine	Angie
Cocaine	Apple Jacks
Cocaine	Aspirin
Cocaine	Aunt
Cocaine	Aunt Nora
Cocaine	Baby
Cocaine	Baby T
Cocaine	Bad
Cocaine	Ball
Cocaine	Basa
Cocaine	Base
Cocaine	Baseball
Cocaine	Basuco
Cocaine	Batman (Cocaine and Heroin)
Cocaine	Bazooka (Crack and Marijuana)
Cocaine	Bazulco
Cocaine	Beam
Cocaine	Beam Me Up Scottie (Cocaine and PCP)
Cocaine	Beamers
Cocaine	Beans
Cocaine	Beat
Cocaine	Beautiful Boulders
Cocaine	Bebe
Cocaine	Beemers
Cocaine	Belushi (Cocaine and Heroin)
Cocaine	Bernice
Cocaine	Bernie
Cocaine	Bernie’s Flakes
Cocaine	Bernie’s Gold Dust
Cocaine	Big Bloke
Cocaine	Big C
Cocaine	Big Flake
Cocaine	Big Rush
Cocaine	Bill Blass
Cocaine	Billie Hoke
Cocaine	Bings
Cocaine	Birdie Powder
Cocaine	BJs
Cocaine	Black Rock
Cocaine	Blanca
Cocaine	Blast
Cocaine	Blotter
Cocaine	Blow
Cocaine	Blowout
Cocaine	Blue
Cocaine	Bobo
Cocaine	Bollo
Cocaine	Bolo
Cocaine	Bone
Cocaine	Bonecrusher
Cocaine	Boost
Cocaine	Bopper
Cocaine	Botray
Cocaine	Boubou
Cocaine	Boulder
Cocaine	Boulya
Cocaine	Bouncing Powder
Cocaine	Boy
Cocaine	Boy-Girl (Cocaine and Heroin)
Cocaine	Brick
Cocaine	Bubble Gum
Cocaine	Bugle
Cocaine	Bullia Capital
Cocaine	Bullion
Cocaine	Bump
Cocaine	Bump Up (Cocaine and MDMA)
Cocaine	Bunk
Cocaine	Burese
Cocaine	Bush
Cocaine	Butler
Cocaine	Butter
Cocaine	C & M (Cocaine and Morphine)
Cocaine	C-Dust
Cocaine	C-Game
Cocaine	Cadillac
Cocaine	Caine
Cocaine	Cakes
Cocaine	California Cornflakes
Cocaine	Came
Cocaine	Candy
Cocaine	Candy C
Cocaine	Candy Flipping on a String—Cocaine, LSD, and MDMA
Cocaine	Candy Sugar
Cocaine	Caps
Cocaine	Capsula
Cocaine	Carnie
Cocaine	Carrie
Cocaine	Carrie Nation
Cocaine	Casper
Cocaine	Casper the Ghost
Cocaine	Caviar (Cocaine and Marijuana)
Cocaine	Ccane
Cocaine	CDS
Cocaine	Cecil
Cocaine	Chalk
Cocaine	Champagne (Cocaine and Marijuana)
Cocaine	Chang
Cocaine	Charlie
Cocaine	Chasing the Dragon (Crack and Heroin)
Cocaine	Cheap Basing
Cocaine	Chemical
Cocaine	Chewies
Cocaine	Ching
Cocaine	Chippy
Cocaine	Chocolate Ecstasy (Crack with Chocolate Milk)
Cocaine	Chocolate Rock (Crack and Heroin)
Cocaine	Choe
Cocaine	Cholly
Cocaine	Chowder
Cocaine	Chronic (Crack and Marijuana)
Cocaine	Cigamos (Crack and Tobacco)
Cocaine	Clicker (PCP and Crack)
Cocaine	Climax
Cocaine	Cloud
Cocaine	Cloud 9
Cocaine	Coca
Cocaine	Coco Rocks (Crack made with chocolate pudding)
Cocaine	Coco Snow (Crack cut with Benzocaine)
Cocaine	Cocoa Puffs (Cocaine and Marijuana)
Cocaine	Cocktail (Crack and Marijuana)
Cocaine	Coconut
Cocaine	Coke
Cocaine	Cola
Cocaine	Combol
Cocaine	Conie
Cocaine	Cookies
Cocaine	Coolie (Cocaine-laced tobacco cigarette)
Cocaine	Corrine
Cocaine	Cory
Cocaine	Cotton Brothers (Cocaine, Heroin, and Morphine)
Cocaine	Crack
Cocaine	Crack Cooler (Crack soaked in wine cooler)
Cocaine	Crank
Cocaine	Crck
Cocaine	Crib
