Slang	Associated Drug
buttons	"acetaminophen and oxycodone combination (percocet®); mescaline/
peyote; oxycodone (oxycontin®, roxicodone®, oxaydo®);  psilocybin
mushrooms
buzz haze	synthetic cannabinoids
caballo	cocaine; heroin
caballo negro	heroin
cabbage	marijuana
caca	cocaine; heroin
cactus	mescaline/peyote
cadillac	cocaine; pcp (phencyclidine)
café	heroin; marijuana
cajeta	heroin
cajita	marijuana
cajitas	methamphetamine
california sunshine	lsd (lysergic acid diethylamide); marijuana
camara	marijuana
canadian black	marijuana
candy	crack cocaine; ecstasy/mdma/molly
capital h	heroin
caps	crack cocaine; psilocybin mushrooms
cardio	white heroin
carga	heroin
caro	heroin
cartwheels	amphetamine
casper the ghost	crack cocaine
cat food	ketamine (ketalar®)
cat valium	ketamine (ketalar®)
catha	khat
catnip	marijuana
caviar	crack cocaine; marijuana concentrates/hash oil
cbd oil	marijuana concentrates/hash oil
c-dust	cocaine
cecil	cocaine
cement	cocaine; heroin
certificada	pure heroin
chalk	amphetamine; methamphetamine
champiñones	psilocybin mushrooms
chandelier	methamphetamine
chandoo	opium
chapopote	heroin
charlie	cocaine; heroin
charlie horse	heroin
chat	khat
chavalone	methamphetamine
chavo	heroin
cheap basting	crack cocaine
cheeba	marijuana
cheese	heroin; marijuana
chernobyl	marijuana
cherry bomb	synthetic cannabinoids
cherry dome	lsd (lysergic acid diethylamide)
cherry meth	ghb (gamma-hydroxybutyric acid)
chevy	cocaine
chewies	crack cocaine
cheyenne	cocaine
chica	cocaine
chicago green	marijuana
chicantas	cocaine
chicken	methamphetamine
chicken feed	methamphetamine
chicken powder	amphetamine; methamphetamine
chicle	heroin
chiclosa	heroin
chief	lsd (lysergic acid diethylamide)
chill	synthetic cannabinoids
china	heroin; opium
china blanca	white heroin
china cat	heroin
china girl	fentanyl and fentanyl derivatives
china town	fentanyl and fentanyl derivatives
china white	fentanyl and fentanyl derivatives; heroin
chinese	fentanyl and fentanyl derivatives
chinese buffet	fentanyl and fentanyl derivatives; white heroin
chinese dragons	lsd (lysergic acid diethylamide)
chinese food	fentanyl and fentanyl derivatives; heroin
chinese molasses	opium
chinese red	heroin
chinese tobacco	opium
chingy	crack cocaine
chinos	cocaine
chip	heroin
chippie	marijuana
chistosa	marijuana
chiva	cocaine; heroin
chiva blanca	heroin
chiva loca	heroin mixed with fentanyl
chiva negra	heroin
chivones	heroin
chochos	amphetamine
chocolate	heroin; opium
chocolate balls	heroin
chocolate chips	ecstasy/mdma/molly
chocolate shake	heroin
chocolates	amphetamine
choko	heroin
chorizo	heroin
chris	methamphetamine
christina	amphetamine
christine	methamphetamine
christmas tree	marijuana
christmas trees	amphetamine and dextroamphetamine combination (adderall®)
christy	methamphetamine
chrome	synthetic cannabinoids
chronic	marijuana
chunk	amphetamine
churro	marijuana
churro negro	heroin
chutazo	heroin
cielo	cocaine
cigars	marijuana
circles	flunitrazepam (rohypnol®)
citrol	marijuana
clarity	ecstasy/mdma/molly
clear	methamphetamine
clear kind	cocaine
clear tires	cocaine
clicker	crack cocaine
cliffhanger	pcp (phencyclidine)
climax	crack cocaine
clockwork orange	synthetic cannabinoids
clothing cleaner	methamphetamine
cloud	crack cocaine
cloud 10	synthetic cannabinoids
cloud 9	synthetic cathinones
cloud nine	crack cocaine
coast-to-coasts	amphetamine
coca	cocaine
coca-cola	cocaine
cocazo	cocaine
coco	heroin
coconut	cocaine
coffee	heroin; lsd (lysergic acid diethylamide)
cohete	heroin
coke	cocaine
cola	cocaine; marijuana
cold	methamphetamine
cold one	methamphetamine
colorado	cocaine
colorado cocktail	marijuana
colorado rockies	methamphetamine
colorines	lsd (lysergic acid diethylamide)
columbo	pcp (phencyclidine)
comida	heroin; cocaine
comida dulce	cocaine
conductor	lsd (lysergic acid diethylamide)
connie	cocaine
cookie	cocaine; hydroponic marijuana
cookies	crack cocaine
co-pilot	"amphetamine; amphetamine and dextroamphetamine combination
(adderall®)"
cosa	cocaine
cosmic beast	synthetic cathinones
coso	cocaine
cosos	cocaine
cotorritos	marijuana
cotton	oxycodone (oxycontin®, roxicodone®, oxaydo®)
cowboy kush	synthetic cannabinoids
cozmos	pcp (phencyclidine)
crank	methamphetamine
crazy	fentanyl and fentanyl derivatives
crazy eddie	pcp (phencyclidine)
crazy oke	pcp (phencyclidine)
crazy one	fentanyl and fentanyl derivatives
crazy weed	marijuana
cream	methamphetamine
creeper bud	marijuana
crib	crack cocaine
cri-cri	methamphetamine
crink	methamphetamine
crippy	marijuana
crisco	methamphetamine
crisscross	amphetamine
crissy	methamphetamine
cross roads	amphetamine
cross tops	amphetamine
crosses	amphetamine
crow	cocaine
crown cap	heroin
crumble	marijuana concentrates/hash oil
crunch and munch	crack cocaine
crusty treats	cocaine
cruz	opium
crying weed	marijuana
crypto	methamphetamine
crystal skull	synthetic cannabinoids
crystalline	marijuana concentrates/hash oil; methamphetamine
cuadro	methamphetamine; cocaine
cubes	psilocybin mushrooms
cucuy	pcp (phencyclidine)
culican	marijuana
curley hair	heroin
cyclones	pcp (phencyclidine)
d.o.a.	heroin
dabs	marijuana concentrates/hash oil
dance fever	fentanyl and fentanyl derivatives
dancing shoes	ecstasy/mdma/molly
dank	marijuana
dark	heroin
dark girl	heroin
dark kind	heroin
date rape drug	flunitrazepam (rohypnol®)
dead man	synthetic cannabinoids
dead on arrival	heroin
death valley	cocaine
debs	amphetamine
decadence	ecstasy/mdma/molly
designer jeans	cocaine
detroit pink	pcp (phencyclidine)
devil	crack cocaine
devil smoke	crack cocaine
devil’s dandruff	cocaine
devil’s lettuce	marijuana
devil’s venom	synthetic cannabinoids
dexies	amphetamine
diablos	amphetamine
diamond	methamphetamine
diamonds	amphetamine; cocaine
dice	crack cocaine
diente	cocaine
dienton	cocaine
diesel	cocaine; heoin; marijuana
diet coke	methylphenidate (ritalin®, concerta®, daytrana®)
diet pills	amphetamine
dillies	hydromorphone (dilaudid®)
dimba	marijuana
dime special	crack cocaine
dinkie dow	marijuana
diosa blanca	cocaine
diosa verde	marijuana
dipper	marijuana concentrates/hash oil; pcp (phencyclidine)
dirt	heroin
dirt grass	marijuana
dirty basing	crack cocaine
dirty fentanyl	crack cocaine mixed with fentanyl
disco biscuits	ecstasy/mdma/molly
ditch weed	marijuana
dizz	marijuana
djamba	marijuana
doctor	ecstasy/mdma/molly
dody	marijuana
dog food	heroin
doggie	heroin
dojo	marijuana
dolls	amphetamine
domestic	marijuana
domex	ecstacy mixed with pcp
dominoes	amphetamine
dona blanca	cocaine
dones	hydrocodone (norco®, vicodin®, lorcet®)
donkey	ketamine (ketalar®)
donna juana	marijuana
doobie	marijuana
doojee	heroin
dope	heroin
dopium	opium
dorado	heroin
dots	lsd (lysergic acid diethylamide)
double bubble	cocaine
double cross
drivers"	amphetamine
double dome	lsd (lysergic acid diethylamide)
double letters	cocaine
double yoke	crack cocaine
dove	cocaine
dover’s powder	opium
down	heroin
downtown	heroin
downtown brown	marijuana
dr. feel good	synthetic cannabinoids
drag weed	marijuana
dragon	fentanyl and fentanyl derivatives; heroin
dragon eye	synthetic cannabinoids
dragon’s breath	fentanyl and fentanyl derivatives
drank	promethazine
dream	cocaine
dream gum	opium
dream stick	opium
dreamer	morphine
dreams	opium
dreck	heroin
droco	hydrocodone (norco®, vicodin®, lorcet®)
drone	synthetic cathinones
drop	ecstasy/mdma/molly
droski	hydroponic marijuana
dry high	marijuana
dulces	amphetamine; cocaine
dummy dust	pcp (phencyclidine)
dunk	methamphetamine
duracell	cocaine
durazno	cocaine
durin	crack cocaine
duro	cocaine
dust	cocaine; pcp (phencyclidine)
dust joint	pcp (phencyclidine)
dust of angels	pcp (phencyclidine)
dynamite	heroin
dyno	heroin
ear wax	marijuana concentrates/hash oil
earth blend	synthetic cannabinoids
easing powder	opium
eastside player	crack cocaine
easy lay	ghb (gamma-hydroxybutyric acid)
e-bomb	ecstasy/mdma/molly
edibles	marijuana concentrates/hash oil
el cid	lsd (lysergic acid diethylamide)
el diablo	heroin
el gata diablo	methamphetamine
electric kool aid	lsd (lysergic acid diethylamide)
elefante blanco	lsd (lysergic acid diethylamide)
elefante pata	marijuana
elephant	pcp (phencyclidine)
"elephant
tranquilizer"	pcp (phencyclidine)
ellis day	lsd (lysergic acid diethylamide)
embalming fluid	pcp (phencyclidine)
enail	marijuana concentrates/hash oil
endo	marijuana
energy-1	synthetic cathinones
engines	heroin
enigizer	pcp (phencyclidine)
enrique grande	heroin
ercs	acetaminophen and oxycodone combination (percocet®)
errl	marijuana concentrates/hash oil
escama	cocaine
escoba	marijuana
escorpino	cocaine
esquina	heroin
esquinilla	heroin
essence	ecstasy/mdma/molly
everclear	ghb (gamma-hydroxybutyric acid)
evil sister	methamphetamine
exodus	synthetic cannabinoids
explosion	synthetic cathinones
extract	marijuana concentrates/hash oil
extreme	synthetic cannabinoids
eye glasses	methamphetamine
eye opener	crack cocaine
facebook	fentanyl mixed with heroin in pill form
fairy dust	heroin
fake bake	synthetic cannabinoids
fake stp	pcp (phencyclidine)
falopa	cocaine
famous dimes	crack cocaine
fantasy g	ghb (gamma-hydroxybutyric acid)
fat bags	crack cocaine
fattie	marijuana
fef1	cocaine
fent	fentanyl and fentanyl derivatives
fenty	fentanyl and fentanyl derivatives
fichas	cocaine
fi-do-nie	opium
fields	lsd (lysergic acid diethylamide)
fiesta	cocaine
fifty-one	crack cocaine
fine stuff	marijuana
fire	"cocaine base; fentanyl and fentanyl derivatives; marijuana;
methamphetamine; synthetic cannabinoids
first line	morphine
fish	liquid cocaine
fish scale	cocaine
fish scales	crack cocaine
fives	amphetamine
fizz	methamphetamine
flake	cocaine
flakes	pcp (phencyclidine)
flakka	synthetic cathinones - alpha- pvp
flash	lsd (lysergic acid diethylamide)
flat blues	lsd (lysergic acid diethylamide)
flea market jeans	cocaine
flea powder	heroin
florida snow	cocaine
flour	amphetamine; cocaine
flower	marijuana
flower tops	marijuana
flowers	methamphetamine
fluff	hydrocodone (norco®, vicodin®, lorcet®)
fluffy	marijuana
foco	methamphetamine
food	"cocaine; fentanyl and fentanyl derivatives; white heroin;
methamphetamine"
foolish powder	cocaine; heroin
footballs	alprazolam (xanax®); amphetamine
forget pill	flunitrazepam (rohypnol®)
freddy	fentanyl and fentanyl derivatives
freebase	crack cocaine
freeze	cocaine
french blues	amphetamine
french fries	crack cocaine
friend	fentanyl and fentanyl derivatives
frio	methamphetamine
friskie powder	cocaine
fruit	methamphetamine
fruit candy flavors	synthetic cannabinoids
frula	cocaine
full melt	marijuana concentrates/hash oil
funky buddha	synthetic cannabinoids
funky monkey	synthetic cannabinoids
funtime	cocaine
fuzzy lady	marijuana
gabacho	cocaine
galaxy	cocaine
gallina	marijuana
gallito	marijuana
galloping horse	heroin
gallos	cocaine
gamma oh	ghb (gamma-hydroxybutyric acid)
gamot	heroin
gangster	marijuana
ganja	marijuana
garbage	methamphetamine
garbage rock	crack cocaine
garden	marijuana
garden salad	synthetic cannabinoids
garifa	marijuana
gash	marijuana
gato	cocaine; heroin; marijuana
gauge	marijuana
gear	steroids
geeb	ghb (gamma-hydroxybutyric acid)
geek	crack cocaine
geeked up	amphetamine
genie	synthetic cannabinoids
george smack	heroin
georgia home boy	ghb (gamma-hydroxybutyric acid)
g-force	synthetic cannabinoids
g-funk	methamphetamine
ghana	marijuana
ghost	lsd (lysergic acid diethylamide)
gi joe	synthetic cannabinoids
gift of the sun	cocaine
gifts	methamphetamine
giggle smoke	marijuana
giggle weed	marijuana
gigi	hydroponic marijuana
gina	ghb (gamma-hydroxybutyric acid)
girl	cocaine; fentanyl and fentanyl derivatives; heroin
girl scout cookies	hydroponic marijuana
girlfriend	cocaine
girls	methamphetamine
